full_name,e,a,q,i,om,w,ma,ad,n,tp,per,moid,class,neo,pha,albedo,GM,BV,UB,IR,spec_B,spec_T
"     1 Ceres",.07913825487621974,2.765348506018043,2.546503651127214,10.58682160714853,80.39319901972638,72.58981198193074,113.4104433863731,2.984193360908873,.2143281753212812,2454871.356114851120,1679.667171431635,1.5833,MBA,N,N,0.090,63.2,.713,.426,,C,G
"     2 Pallas",.2309995596581508,2.772153211365543,2.131787040235174,34.84090359779853,173.1294969268293,310.1509424754423,96.1482659817989,3.412519382495912,.2135395042371473,2454950.240146090154,1685.87073050521,1.23163,MBA,N,N,0.1587,14.3,.635,.284,,B,B
"     3 Juno",.2552218223246435,2.671251144758163,1.989489559706195,12.97943187127816,169.9031723004827,248.22604272,167.4215742067949,3.353012729810132,.2257522003499791,2455258.883422410747,1594.668842394002,1.04117,MBA,N,N,0.2383,,.824,.433,,Sk,S
"     4 Vesta",.08862258545936168,2.361912323243681,2.152593546529499,7.13406257854299,103.9096808087324,149.8373992529071,307.8010497902699,2.571231099957864,.2715241205759539,2455592.744247395061,1325.849059878629,1.14074,MBA,N,N,0.4228,17.8,.782,.492,,V,V
"     5 Astraea",.190500271339026,2.574286107734743,2.08388390570699,5.367196013265004,141.6095443907038,358.8065674640007,21.74033542545749,3.064688309762497,.2386266005589912,2455909.393914699660,1508.633149685271,1.0973,MBA,N,N,0.2268,,.826,.411,,S,S
"     6 Hebe",.2021124476820306,2.425118422212342,1.934971801980221,14.74869082074882,138.725794195626,239.3310424383181,128.4007676118401,2.915265042444462,.2609784502293914,2455508.502413613155,1379.424238605034,.976102,MBA,N,N,0.2679,,.822,.399,,S,S
"     7 Iris",.2304981959266794,2.386568167386224,1.836468510347657,5.523582405162232,259.6404748166616,145.3152521155748,164.9475583010958,2.93666782442479,.2673272978131698,2455383.475252993525,1346.663819762984,.849345,MBA,N,N,0.2766,,.855,.484,,S,S
"     8 Flora",.1563830676126799,2.201455771797745,1.857185364990374,5.88749731327874,110.9317279507631,285.2519187025767,130.3548939334978,2.545726178605117,.3017443360372975,2455568.495556617888,1193.062990768124,.874823,MBA,N,N,0.2426,,.885,.489,,,S
"     9 Metis",.1228461249647009,2.385987812159546,2.092878455222742,5.57549462447154,68.94773559449079,6.162415476380389,302.0301766202336,2.679097169096351,.2674248386896355,2456217.270527613721,1346.172635885196,1.10822,MBA,N,N,0.118,,.858,.496,,,S
"    10 Hygiea",.1162722190633546,3.138071348050083,2.773200828833167,3.841589810220968,283.4138547497187,312.9216109783203,50.83720173008843,3.502941867266999,.1773004563790307,2455713.770891861613,2030.451626308262,1.76312,MBA,N,N,0.0717,7.,.696,.351,,C,C
