pdes,dv,H,a,e,i
2006 RH120,3.813,0.635,0.605,29.5,1.033
2007 UN12,3.823,0.637,0.607,28.7,1.054
2010 UE51,3.829,0.638,0.608,28.3,1.055
2012 TF79,3.867,0.644,0.614,27.4,1.050
2009 BD,3.870,0.645,0.614,28.1,1.062
2010 VQ98,3.924,0.654,0.623,28.2,1.023
2008 HU4,3.927,0.654,0.623,28.2,1.093
2012 EC,3.957,0.659,0.628,23.4,1.154
2008 EA9,3.962,0.660,0.629,27.7,1.059
1991 VG,3.998,0.666,0.635,28.5,1.027
2008 UA202,4.029,0.672,0.640,29.4,1.033
2013 DA1,4.030,0.672,0.640,27.3,1.168
2013 EC20,4.032,0.672,0.640,29.0,1.112
2013 BS45,4.045,0.674,0.642,25.9,0.998
2012 WR10,4.076,0.679,0.647,28.7,1.085
2006 UB17,4.082,0.680,0.648,26.3,1.140
2001 GP2,4.094,0.682,0.650,26.9,1.038
2011 MD,4.113,0.686,0.653,28.0,1.056
2011 CG2,4.117,0.686,0.653,21.5,1.177
2013 CY,4.117,0.686,0.653,28.3,1.114
2005 LC,4.122,0.687,0.654,26.8,1.134
2010 SZ3,4.128,0.688,0.655,28.3,1.185
2012 MY2,4.129,0.688,0.655,26.4,1.260
2010 AN61,4.130,0.688,0.656,27.0,1.159
2009 OS5,4.131,0.688,0.656,24.2,1.144
2011 UD21,4.139,0.690,0.657,28.5,0.979
2012 FS35,4.146,0.691,0.658,30.2,1.099
2008 TS10,4.147,0.691,0.658,29.0,1.257
2005 QP87,4.149,0.692,0.659,27.7,1.233
2012 KT12,4.150,0.692,0.659,26.3,1.251
2000 SG344,4.156,0.693,0.660,24.7,0.978
2012 HG2,4.177,0.696,0.663,27.0,1.189
2008 EL68,4.179,0.697,0.663,27.7,1.224
2012 XM55,4.186,0.698,0.664,27.9,1.097
2012 FN,4.196,0.699,0.666,29.2,1.221
1998 KY26,4.207,0.701,0.668,25.5,1.232
2013 GN3,4.211,0.702,0.668,23.7,1.227
2003 SM84,4.216,0.703,0.669,22.7,1.125
